序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
52371,="16:32:43.906",0x108EC00,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 03 00 00 00 18 02 00 00 
52372,="16:32:43.906",0x108EC02,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52373,="16:32:43.906",0x108EC03,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E1 00 
52374,="16:32:43.906",0x108EC04,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8B 00 
52375,="16:32:43.906",0x108EC05,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52376,="16:32:43.906",0x108EC06,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52377,="16:32:43.906",0x108EC08,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52378,="16:32:43.906",0x108EC08,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52379,="16:32:43.906",0x108EC09,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52380,="16:32:43.906",0x108EC0C,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52381,="16:32:43.906",0x108EC0D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 92 00 
52382,="16:32:43.906",0x108EC0F,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 87 FD FF FF 18 02 00 00 
52383,="16:32:43.906",0x108EC10,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 ED 00 
52384,="16:32:43.906",0x108EC11,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52385,="16:32:43.906",0x108EC19,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52386,="16:32:43.906",0x108EC1B,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52387,="16:32:43.906",0x108EC1C,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52388,="16:32:43.906",0x108EC1D,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52389,="16:32:43.906",0x108EC1E,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
52390,="16:32:43.906",0x108EC20,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| A8 02 00 00 18 02 00 00 
52391,="16:32:43.906",0x108EC21,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
52392,="16:32:43.906",0x108EC22,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52393,="16:32:43.906",0x108EC23,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
